repseq	OTUS	domain	phylum	class	order	family	genus	species
9248	Y_OTU_20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales
5012	Y_OTU_196	Fungi	Ascomycota	Sordariomycetes	unclassified_Sordariomycetes	unclassified_Sordariomycetes	unclassified_Sordariomycetes	unclassified_Sordariomycetes
8082	Y_OTU_22	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon pseudoroseolus
981	Y_OTU_46	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus versicolor
1399	Y_OTU_147	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
3116	Y_OTU_28	Fungi	Ascomycota	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Knufia	Sarcinomyces petricola
4350	Y_OTU_37	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus lakei
6160	Y_OTU_11	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
247	Y_OTU_186	Fungi	Ascomycota	Leotiomycetes	Leotiomycetes_Incertae sedis	Leotiomycetes_Incertae sedis	Leohumicola	Leohumicola levissima
3065	Y_OTU_276	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
4585	Y_OTU_15	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	unclassified_Pyronemataceae	unclassified_Pyronemataceae
7617	Y_OTU_294	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon loubieri
8382	Y_OTU_293	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
3057	Y_OTU_128	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	Claviceps purpurea
3464	Y_OTU_47	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	unclassified_Davidiella
4061	Y_OTU_251	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Verticillium	Verticillium leptobactrum
6500	Y_OTU_65	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
1930	Y_OTU_204	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus oeirensis
4271	Y_OTU_248	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
477	Y_OTU_280	Fungi	Ascomycota	Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes
1568	Y_OTU_244	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	unclassified_Preussia
3042	Y_OTU_118	Fungi	Ascomycota	Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes
5564	Y_OTU_277	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_Incertae sedis	Candida	Candida subhashii
7205	Y_OTU_191	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae sedis	Geosmithia	unclassified_Geosmithia
5254	Y_OTU_7	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
5256	Y_OTU_122	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	unclassified_Phialocephala
5375	Y_OTU_298	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis
5918	Y_OTU_125	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	Hormonema prunorum
6280	Y_OTU_187	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
783	Y_OTU_18	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
1778	Y_OTU_76	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi
396	Y_OTU_245	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unclassified_Mycosphaerella
488	Y_OTU_5	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pseudochaete	Pseudochaete tabacina
1771	Y_OTU_66	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
3789	Y_OTU_159	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
5504	Y_OTU_40	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthoria	Xanthoria polycarpa
158	Y_OTU_41	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmiellus	unclassified_Marasmiellus
371	Y_OTU_48	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
4265	Y_OTU_63	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
5061	Y_OTU_163	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
5067	Y_OTU_211	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
67	Y_OTU_26	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon rogersii
3128	Y_OTU_178	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Massarina	Massarina igniaria
347	Y_OTU_101	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Plectosporium	unclassified_Plectosporium
4450	Y_OTU_9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified_Agaricales	unclassified_Agaricales	unclassified_Agaricales
5449	Y_OTU_156	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_Incertae sedis	Coniosporium	Coniosporium apollinis
5545	Y_OTU_240	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeria	unclassified_Teratosphaeria
6064	Y_OTU_77	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Embellisia	Embellisia abundans
1799	Y_OTU_183	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus flavescens
5898	Y_OTU_141	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium spathulatum
1904	Y_OTU_303	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	unclassified_Cryptococcus
1385	Y_OTU_93	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	Ceratobasidium sp 0109CI64L1
1855	Y_OTU_92	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala xenobiotica
