repseq	OTUS	domain	phylum	class	order	family	genus	species
4759	Y_OTU_96	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	unclassified_Sclerostagonospora
676	Y_OTU_208	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Phialemonium	Phialemonium dimorphosporum
698	Y_OTU_113	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
1455	Y_OTU_54	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula dairenensis
5010	Y_OTU_170	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Thelebolus	Thelebolus globosus
3386	Y_OTU_30	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Leptodontidium	Leptodontidium elatius
5917	Y_OTU_69	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
1089	Y_OTU_12	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina mikolae
1099	Y_OTU_39	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified_Agaricales	unclassified_Agaricales	unclassified_Agaricales
1725	Y_OTU_23	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium olsonii
4294	Y_OTU_229	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula nothofagi
4812	Y_OTU_107	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
5851	Y_OTU_281	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
6084	Y_OTU_70	Fungi	Ascomycota	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Knufia	Knufia cryptophialidica
6223	Y_OTU_297	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	Auriculibuller	Auriculibuller fuscus
6869	Y_OTU_27	Fungi	Ascomycota	Dothideomycetes	Dothideales	unclassified_Dothideales	unclassified_Dothideales	unclassified_Dothideales
7442	Y_OTU_97	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
8018	Y_OTU_304	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
964	Y_OTU_205	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus chernovii
172	Y_OTU_238	Fungi	Basidiomycota	Tremellomycetes	Tremellales	unclassified_Tremellales	unclassified_Tremellales	unclassified_Tremellales
1831	Y_OTU_59	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
2662	Y_OTU_71	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
3171	Y_OTU_222	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Capnodium	Capnodium coffeae
3574	Y_OTU_110	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
358	Y_OTU_98	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Plectosporium	unclassified_Plectosporium
3940	Y_OTU_0	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
4267	Y_OTU_164	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
4310	Y_OTU_250	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriopsis	Phaeosphaeria oryzae
4421	Y_OTU_230	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	unclassified_Gibberella
5417	Y_OTU_105	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus awamori
709	Y_OTU_231	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeria	unclassified_Teratosphaeria
826	Y_OTU_305	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
1529	Y_OTU_13	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina mikolae
2903	Y_OTU_143	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium canescens
2909	Y_OTU_291	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
4292	Y_OTU_124	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium oxalicum
233	Y_OTU_255	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia jadinii
2998	Y_OTU_214	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	unclassified_Gibberella
5378	Y_OTU_292	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
1256	Y_OTU_188	Fungi	Ascomycota	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Torula	Torula caligans
4551	Y_OTU_19	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	unclassified_Cortinarius
4735	Y_OTU_139	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	Phialocephala fortinii
5015	Y_OTU_133	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidiella	Leucosporidiella fragaria
6860	Y_OTU_36	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
994	Y_OTU_209	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodosporidium	Rhodotorula graminis
1731	Y_OTU_49	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala attenuata
3675	Y_OTU_215	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Haematonectria	unclassified_Haematonectria
5307	Y_OTU_34	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
1600	Y_OTU_223	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium sp FLS_2010
1608	Y_OTU_103	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothidea	Dothidea sambuci
2620	Y_OTU_86	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
157	Y_OTU_180	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
4576	Y_OTU_153	Fungi	Ascomycota	Leotiomycetes	unclassified_Leotiomycetes	unclassified_Leotiomycetes	unclassified_Leotiomycetes	unclassified_Leotiomycetes
5114	Y_OTU_134	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
5428	Y_OTU_44	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
9620	Y_OTU_6	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_Incertae sedis	Candida	Candida boidinii
2235	Y_OTU_198	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Davidiella macrospora
1420	Y_OTU_154	Fungi	Ascomycota	Leotiomycetes	Helotiales	unclassified_Helotiales	unclassified_Helotiales	unclassified_Helotiales
316	Y_OTU_189	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
3290	Y_OTU_295	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
9098	Y_OTU_155	Fungi	Zygomycota	Mucoromycotina_Incertae sedis	Mucorales	Umbelopsidaceae	Umbelopsis	Mortierella turficola
1407	Y_OTU_72	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
505	Y_OTU_21	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Kabatiella	Aureobasidium pullulans
3480	Y_OTU_75	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora nuda
5135	Y_OTU_87	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum hirsutum
1022	Y_OTU_234	Fungi	Zygomycota	Mucoromycotina_Incertae sedis	Mortierellales	Mortierellaceae	Mortierella	Mortierella exigua
1093	Y_OTU_108	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
2979	Y_OTU_289	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
3636	Y_OTU_42	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora seminiperda
442	Y_OTU_284	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
726	Y_OTU_45	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus versicolor
1433	Y_OTU_32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe australiana
2214	Y_OTU_43	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum sanguinolentum
2394	Y_OTU_4	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Graphiopsis	Graphiopsis chlorocephala
3127	Y_OTU_256	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Blastobotrys	Blastobotrys adeninivorans
825	Y_OTU_25	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	unclassified_Erysiphe
1637	Y_OTU_257	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
1658	Y_OTU_216	Fungi	Ascomycota	Leotiomycetes	Helotiales	unclassified_Helotiales	unclassified_Helotiales	unclassified_Helotiales
4075	Y_OTU_140	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
7470	Y_OTU_17	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
75	Y_OTU_35	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis cajanderi
2266	Y_OTU_60	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora terrestris
3435	Y_OTU_286	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	Dioszegia	unclassified_Dioszegia
5613	Y_OTU_308	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unclassified_Saccharomycetales	unclassified_Saccharomycetales	unclassified_Saccharomycetales
