repseq	OTUS	domain	phylum	class	order	family	genus
688|1252	OTU_114	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
688|1264	OTU_3702	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
688|1507	OTU_113	acteria	Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	Parcubacteria_genera_incertae_sedis
688|1652	OTU_2699	acteria	Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria
68|820	OTU_38	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
688|303	OTU_2700	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
688|441	OTU_115	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
68|864	OTU_432	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
688|809	OTU_2697	acteria	Proteobacteria	etaproteobacteria	urkholderiales	urkholderiales_incertae_sedis	Leptothrix
68|892	OTU_2715	acteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unclassified_Planctomycetaceae
68|899	OTU_2721	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
6|890	OTU_2797	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
689|106	OTU_2701	acteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Zavarzinella
689|13	OTU_2706	acteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
689|178	OTU_430	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
689|204	OTU_2703	acteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unclassified_Planctomycetaceae
689|226	OTU_2702	acteria	acteroidetes	unclassified_acteroidetes	unclassified_acteroidetes	unclassified_acteroidetes	unclassified_acteroidetes
689|339	OTU_2705	acteria	Proteobacteria	etaproteobacteria	urkholderiales	Oxalobacteraceae	Duganella
689|385	OTU_2704	acteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	unclassified_Moraxellaceae
68|946	OTU_2711	acteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Thiopseudomonas
68|957	OTU_2723	acteria	Chlamydiae	Chlamydiia	Chlamydiales	unclassified_Chlamydiales	unclassified_Chlamydiales
68|997	OTU_431	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
690|136	OTU_2740	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Soonwooa
690|243	OTU_3483	acteria	Firmicutes	acilli	acillales	acillaceae 2	unclassified_acillaceae 2
690|331	OTU_2738	acteria	Proteobacteria	etaproteobacteria	unclassified_etaproteobacteria	unclassified_etaproteobacteria	unclassified_etaproteobacteria
690|397	OTU_2736	acteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
690|716	OTU_2739	acteria	Verrucomicrobia	Subdivision3	unclassified_Subdivision3	unclassified_Subdivision3	Subdivision3_genera_incertae_sedis
690|768	OTU_2735	acteria	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales
690|862	OTU_2737	acteria	Proteobacteria	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria
690|880	OTU_2734	acteria	Planctomycetes	Planctomycetia	unclassified_Planctomycetia	unclassified_Planctomycetia	unclassified_Planctomycetia
690|882	OTU_2733	acteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	unclassified_Moraxellaceae
6|919	OTU_2805	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
692|1087	OTU_2747	acteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Neokomagataea
692|1260	OTU_3484	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium
692|1453	OTU_2741	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
692|1629	OTU_2742	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unclassified_Flavobacteriaceae
