	domain	phylum	class	order	family	genus
OTU_42	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	Saccharibacillus
OTU_43	Bacteria	"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter
OTU_44	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_45	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_46	Bacteria	"Proteobacteria"	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria
OTU_47	Bacteria	"Acidobacteria"	Acidobacteria_Gp1	unclassified_Acidobacteria_Gp1	unclassified_Acidobacteria_Gp1	Terriglobus
OTU_48	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_49	Bacteria	"Proteobacteria"	Betaproteobacteria	Burkholderiales	unclassified_Burkholderiales	unclassified_Burkholderiales
OTU_50	Bacteria	"Proteobacteria"	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
OTU_51	Bacteria	"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	unclassified_Flavobacteriaceae
OTU_52	Bacteria	"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Chryseobacterium
OTU_53	Bacteria	"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Pontibacter
OTU_54	Bacteria	"Bacteroidetes"	Sphingobacteriia	"Sphingobacteriales"	Chitinophagaceae	Niabella
OTU_55	Bacteria	"Verrucomicrobia"	Subdivision3	unclassified_Subdivision3	unclassified_Subdivision3	Subdivision3_genera_incertae_sedis
OTU_56	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_57	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_58	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
OTU_59	Bacteria	"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter
OTU_60	Bacteria	"Verrucomicrobia"	Spartobacteria	unclassified_Spartobacteria	unclassified_Spartobacteria	Spartobacteria_genera_incertae_sedis
OTU_61	Bacteria	"Bacteroidetes"	Flavobacteriia	"Flavobacteriales"	Flavobacteriaceae	Flavobacterium
OTU_62	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_63	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_64	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_65	Bacteria	"Verrucomicrobia"	Spartobacteria	unclassified_Spartobacteria	unclassified_Spartobacteria	Spartobacteria_genera_incertae_sedis
OTU_66	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_67	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_68	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_69	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_70	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_71	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_72	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_73	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_74	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_75	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_76	Bacteria	"Proteobacteria"	Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria	unclassified_Alphaproteobacteria
OTU_77	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_78	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_79	Bacteria	"Proteobacteria"	Betaproteobacteria	Burkholderiales	unclassified_Burkholderiales	unclassified_Burkholderiales
OTU_80	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_81	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae 2	Amphibacillus
OTU_82	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_83	Bacteria	"Proteobacteria"	Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria	unclassified_Gammaproteobacteria
OTU_84	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Serpens
OTU_85	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_86	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_87	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_88	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_89	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_90	Bacteria	"Proteobacteria"	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	unclassified_Acetobacteraceae
OTU_91	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_92	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_93	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_94	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_95	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_96	Bacteria	"Proteobacteria"	Gammaproteobacteria	"Enterobacteriales"	Enterobacteriaceae	unclassified_Enterobacteriaceae
OTU_97	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_98	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_99	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_100	Bacteria	"Proteobacteria"	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas
OTU_101	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	unclassified_Actinomycetales	unclassified_Actinomycetales
OTU_102	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
