repseq	OTUS	domain	phylum	class	order	family	genus
702|707	OTU_4228	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	unclassified_Parachlamydiaceae
702|738	OTU_4225	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
702|740	OTU_4233	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto
702|752	OTU_4243	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unclassified_Planctomycetaceae
702|761	OTU_4198	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum
702|762	OTU_4217	Bacteria	Proteobacteria	Deltaproteobacteria	unclassified_Deltaproteobacteria	unclassified_Deltaproteobacteria	unclassified_Deltaproteobacteria
702|775	OTU_4226	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified_Enterobacteriaceae
702|786	OTU_5364	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified_Comamonadaceae
70|283	OTU_4332	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Phytohabitans
702|848	OTU_4235	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
702|852	OTU_4220	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified_Enterobacteriaceae
702|889	OTU_4231	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified_Burkholderiales	unclassified_Burkholderiales
702|897	OTU_4207	Bacteria	Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria
702|949	OTU_4238	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae 2	Oceanobacillus
703|10	OTU_5550	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root
703|11	OTU_4250	Bacteria	Acidobacteria	Acidobacteria_Gp4	unclassified_Acidobacteria_Gp4	unclassified_Acidobacteria_Gp4	Gp4
703|127	OTU_5370	Bacteria	Firmicutes	Bacilli	Bacillales	unclassified_Bacillales	unclassified_Bacillales
703|15	OTU_4251	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified_Rhodocyclaceae
703|164	OTU_4259	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	unclassified_Acetobacteraceae
703|172	OTU_4265	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified_Burkholderiales	unclassified_Burkholderiales
